Project Name,Package Name,Architecture Smell,Cause of the Smell
gwt-ol-main,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.31. All the dependencies among components: from: ol.animation to: ol; from: ol.animation to: ol.easing; from: ol to: ol.event; from: ol to: ol.geom; from: ol to: ol.style; from: ol to: ol.layer; from: ol to: ol.proj; from: ol to: ol.color; from: ol to: ol.events; from: ol to: ol.control; from: ol to: ol.interaction; from: ol to: ol.format; from: ol to: ol.source; from: ol to: ol.tilegrid; from: ol to: ol.sphere; from: ol to: ol.gwt; from: ol to: ol.animation; from: ol to: ol.events.condition; from: ol to: ol.format.filter; from: ol to: ol.has; from: ol to: ol.loadingstrategy; from: ol to: ol.webgl; from: ol.color to: ol; from: ol.control to: ol; from: ol.control to: ol.proj; from: ol.event to: ol.geom; from: ol.event to: ol; from: ol.events.condition to: ol; from: ol.featureloader to: ol; from: ol.featureloader to: ol.proj; from: ol.format to: ol.proj; from: ol.format to: ol; from: ol.format to: ol.geom; from: ol.format to: ol.format.filter; from: ol.format to: ol.utils; from: ol.format.filter to: ol; from: ol.format.filter to: ol.geom; from: ol.geom to: ol; from: ol.geom to: ol.proj; from: ol.gwt to: ol; from: ol.gwt to: ol.proj; from: ol.gwt to: ol.interaction; from: ol.gwt to: ol.event; from: ol.gwt to: ol.layer; from: ol.gwt to: ol.style; from: ol.gwt to: ol.geom; from: ol.gwt to: ol.color; from: ol.interaction to: ol.geom; from: ol.interaction to: ol.event; from: ol.interaction to: ol; from: ol.interaction to: ol.source; from: ol.interaction to: ol.style; from: ol.layer to: ol; from: ol.layer to: ol.style; from: ol.layer to: ol.source; from: ol.loadingstrategy to: ol; from: ol.proj to: ol; from: ol.render to: ol; from: ol.render to: ol.geom; from: ol.render to: ol.style; from: ol.source to: ol.format; from: ol.source to: ol; from: ol.source to: ol.proj; from: ol.source to: ol.event; from: ol.source to: ol.tilegrid; from: ol.source to: ol.featureloader; from: ol.source to: ol.loadingstrategy; from: ol.sphere to: ol.geom; from: ol.sphere to: ol; from: ol.sphere to: ol.proj; from: ol.style to: ol.color; from: ol.style to: ol; from: ol.style to: ol.render; from: ol.style to: ol.geom; from: ol.tilegrid to: ol; from: ol.utils to: ol; from: ol.utils to: ol.geom; from: com.github.tdesjardins.ol3.demo.client.example to: ol; from: com.github.tdesjardins.ol3.demo.client.example to: ol.source; from: com.github.tdesjardins.ol3.demo.client.example to: ol.layer; from: com.github.tdesjardins.ol3.demo.client.example to: ol.control; from: com.github.tdesjardins.ol3.demo.client.example to: ol.proj; from: com.github.tdesjardins.ol3.demo.client.example to: com.github.tdesjardins.ol3.demo.client.constants; from: com.github.tdesjardins.ol3.demo.client.example to: com.github.tdesjardins.ol3.demo.client.utils; from: com.github.tdesjardins.ol3.demo.client.example to: ol.geom; from: com.github.tdesjardins.ol3.demo.client.example to: ol.style; from: com.github.tdesjardins.ol3.demo.client.example to: ol.has; from: com.github.tdesjardins.ol3.demo.client.example to: ol.color; from: com.github.tdesjardins.ol3.demo.client.example to: ol.format; from: com.github.tdesjardins.ol3.demo.client.example to: ol.gwt; from: com.github.tdesjardins.ol3.demo.client.example to: ol.interaction; from: com.github.tdesjardins.ol3.demo.client.example to: ol.events.condition; from: com.github.tdesjardins.ol3.demo.client.example to: ol.event; from: com.github.tdesjardins.ol3.demo.client.example to: ol.tilegrid; from: com.github.tdesjardins.ol3.demo.client to: com.github.tdesjardins.ol3.demo.client.example; from: com.github.tdesjardins.ol3.demo.client.utils to: ol; from: com.github.tdesjardins.ol3.demo.client.utils to: ol.control; from: com.github.tdesjardins.ol3.demo.client.utils to: ol.geom; from: com.github.tdesjardins.ol3.demo.client.utils to: ol.layer; from: com.github.tdesjardins.ol3.demo.client.utils to: ol.source; from: com.github.tdesjardins.ol3.demo.client.utils to: com.github.tdesjardins.ol3.demo.client.constants.
gwt-ol-main,ol,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 70
gwt-ol-main,ol,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ol.interaction; ol.sphere; ol.gwt; ol.animation
gwt-ol-main,ol,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ol.proj; ol.sphere.
gwt-ol-main,ol,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ol; ol.event; ol
gwt-ol-main,ol,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ol; ol.geom; ol
gwt-ol-main,ol,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ol; ol.style; ol
gwt-ol-main,ol,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ol; ol.layer; ol
gwt-ol-main,ol,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ol; ol.proj; ol
gwt-ol-main,ol,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ol; ol.color; ol
